season,team_name,team_bref_id,ranker,player,player_register_id,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes,is_aggregate,name_clean,name_strict_key,name_loose_key
2000,Hyundai Unicorns,4618a975,1,Hyi-bong An,an----000hyi,27,1,1,1,0,0,0,0,0,0,,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,,,False,Hyi-bong An,AHN|bonghyi,AHN|bonghi
2000,Hyundai Unicorns,4618a975,2,Darryl Brinkley,brinkl001dar,31,27,100,91,9,19,1,0,3,14,,,6,25,0.209,0.25,0.319,0.569,29,4,0,0,3,,,False,Darryl Brinkley,|brinkleydarryl,|blingleydalyl
2000,Hyundai Unicorns,4618a975,3,Bubba Carpenter*,carpen002cha,31,39,158,142,23,40,7,0,5,32,,,13,32,0.282,0.342,0.437,0.778,62,1,1,0,2,,,False,Bubba Carpenter,|bubbacarpenter,|bobagalbendel
2000,Hyundai Unicorns,4618a975,4,Gyo-Seong Chang,jang--000gyo,22,55,71,67,8,15,2,3,1,5,,,3,16,0.224,0.257,0.388,0.645,26,2,0,1,0,,,False,Gyo-Seong Chang,JANG|gyoseong,JANG|gyosong
2000,Hyundai Unicorns,4618a975,5,Man Ho Choi,choi--000man,26,19,23,20,4,5,0,0,0,2,,,2,7,0.25,0.318,0.25,0.568,5,0,0,1,0,,,False,Man Ho Choi,CHOI|homan,CHOI|homan
2000,Hyundai Unicorns,4618a975,6,Yun-Seong Hwang*,hwang-000yun,26,23,60,52,9,11,5,1,1,5,,,4,18,0.212,0.3,0.404,0.704,21,0,3,0,1,,,False,Yun-Seong Hwang,HWANG|seongyun,HWANG|songyon
2000,Hyundai Unicorns,4618a975,7,Jung Suk Jang*,chang-000jeo,27,39,38,34,5,7,3,0,1,5,,,2,8,0.206,0.289,0.382,0.672,13,1,2,0,0,,,False,Jung Suk Jang,JANG|jungsuk,JANG|jongsog
2000,Hyundai Unicorns,4618a975,8,Geun-pyo Jeon*,jeon--000geu,23,20,49,43,6,11,1,0,3,9,,,6,10,0.256,0.347,0.488,0.835,21,1,0,0,0,,,False,Geun-pyo Jeon,JEON|geunpyo,JEON|byogon
2000,Hyundai Unicorns,4618a975,9,Jun Ho Jeon*,jeon--000jun,31,87,334,263,53,83,12,2,1,18,,,51,36,0.316,0.436,0.388,0.824,102,0,6,13,1,,,False,Jun Ho Jeon,JEON|hojun,JEON|hojon
2000,Hyundai Unicorns,4618a975,10,Soo Sung Jung*,jeong-003soo,22,12,16,16,1,4,0,0,0,1,,,0,6,0.25,0.25,0.25,0.5,4,0,0,0,0,,,False,Soo Sung Jung,JUNG|soosung,JUNG|sosong
2000,Hyundai Unicorns,4618a975,11,Il Kyoung Kim,kim---002il-,21,16,32,31,6,8,1,0,1,1,,,0,11,0.258,0.258,0.387,0.645,12,0,0,1,0,,,False,Il Kyoung Kim,KIM|ilkyoung,KIM|gyongil
2000,Hyundai Unicorns,4618a975,12,In Ho Kim,kim---003in-,33,115,324,281,48,64,17,2,3,21,,,30,44,0.228,0.308,0.335,0.642,94,6,3,9,1,,,False,In Ho Kim,KIM|hoin,KIM|hoin
2000,Hyundai Unicorns,4618a975,13,Pil Joong Kim,kim---000pil,25,18,5,5,1,2,0,0,0,1,,,0,2,0.4,0.4,0.4,0.8,2,0,0,0,0,,,False,Pil Joong Kim,KIM|joongpil,KIM|biljong
2000,Hyundai Unicorns,4618a975,14,Jae-ju Lee,lee---003jae,26,76,132,114,14,22,5,0,3,14,,,14,33,0.193,0.298,0.316,0.613,36,3,3,1,0,,,False,Jae-ju Lee,LEE|jaeju,LEE|jejo
2000,Hyundai Unicorns,4618a975,15,Myung Soo Lee,lee---003mye,33,85,236,206,26,69,10,2,4,39,,,22,24,0.335,0.399,0.461,0.86,95,7,2,3,3,,,False,Myung Soo Lee,LEE|myungsoo,LEE|myongso
2000,Hyundai Unicorns,4618a975,16,Soong Yong Lee*,lee---003sun,29,104,325,281,49,80,14,0,15,50,,,35,49,0.285,0.377,0.495,0.871,139,9,7,1,1,,,False,Soong Yong Lee,LEE|soongyong,LEE|songyong
2000,Hyundai Unicorns,4618a975,17,Yong-ju Lee#,lee---004yon,23,3,3,3,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,,,False,Yong-ju Lee,LEE|juyong,LEE|joyong
2000,Hyundai Unicorns,4618a975,18,Jae-hong Park,park--000jae,26,132,572,489,101,151,31,5,32,115,,,64,77,0.309,0.388,0.589,0.977,288,15,7,0,12,,,False,Jae-hong Park,PARK|hongjae,PARK|hongje
2000,Hyundai Unicorns,4618a975,19,Jin Man Park,park--001jin,23,129,477,420,67,121,30,4,15,58,,,36,76,0.288,0.35,0.486,0.835,204,9,6,11,4,,,False,Jin Man Park,PARK|jinman,PARK|jinman
2000,Hyundai Unicorns,4618a975,20,Jong Ho Park#,park--000jon,26,121,541,441,89,150,30,3,10,58,,,61,47,0.34,0.428,0.49,0.918,216,4,12,20,7,,,False,Jong Ho Park,PARK|hojong,PARK|hojong
