season,side,team_ID,affiliation,age_bat,runs_per_game,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,is_aggregate,age_pit,W,L,win_loss_perc,earned_run_avg,run_avg,GS,GF,CG,SHO,SV,IP,ER,BK,WP,batters_faced,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
2000,batting,League Totals,,27.5,4.86,1064,40028,34948,5176,9447,1736,157,1069,4841,,,3757,6587,.270,.347,.421,.768,14704,788,519,499,305,,True,,,,,,,,,,,,,,,,,,,,,,
2000,pitching,League Totals,,,4.90,1064,,,5210,9471,,,1096,,,,3806,6740,,,,,,,523,,,,True,26.7,502,500,.501,4.63,5.10,,,44,10,281,9189.2,4729,,,40338,1.445,9.3,1.1,3.7,6.6,1.77
2001,batting,League Totals,,27.8,5.18,1064,41957,36121,5507,9893,1744,158,1070,5171,856,431,4356,6419,.274,.357,.420,.777,15163,855,515,644,321,203,True,,,,,,,,,,,,,,,,,,,,,,
2001,pitching,League Totals,,,5.18,1064,,,5507,9893,,,1070,,,,4356,6419,,,,,,,515,,,203,True,27.2,516,516,.500,4.71,5.25,1064,1022,42,37,262,9442.1,4938,26,406,41960,1.509,9.4,1.0,4.2,6.1,1.47
2002,batting,League Totals,,27.7,4.64,1064,40981,36135,4932,9517,1679,154,1127,4682,777,406,3388,7265,.263,.335,.412,.747,14885,778,658,536,264,181,True,,,,,,,,,,,,,,,,,,,,,,
2002,pitching,League Totals,,,4.64,1064,,,4932,9517,,,1127,,,,3388,7265,,,,,,,658,,,181,True,27.3,517,517,.500,4.24,4.68,1064,1026,38,55,253,9484.1,4465,25,354,40986,1.361,9.0,1.1,3.2,6.9,2.14
2003,batting,League Totals,,27.9,4.64,1064,41149,35774,4933,9607,1715,149,1063,4653,714,425,3729,6094,.269,.345,.414,.759,14809,765,605,755,286,131,True,,,,,,,,,,,,,,,,,,,,,,
2003,pitching,League Totals,,,4.64,1064,,,4933,9607,,,1063,,,,3729,6094,,,,,,,605,,,131,True,26.8,519,519,.500,4.27,4.71,1064,1029,35,58,272,9434.0,4475,25,361,41152,1.414,9.2,1.0,3.6,5.8,1.63
2004,batting,League Totals,,28.3,4.69,1064,41350,35812,4990,9541,1653,121,966,4721,678,389,3883,6534,.266,.347,.400,.747,14334,828,681,672,302,156,True,,,,,,,,,,,,,,,,,,,,,,
2004,pitching,League Totals,,,4.69,1064,,,4990,9541,,,966,,,,3883,6534,,,,,,,681,,,156,True,26.8,508,508,.500,4.29,4.74,1064,1035,29,58,273,9465.2,4514,28,383,41351,1.418,9.1,0.9,3.7,6.2,1.68
