season,team_name,team_bref_id,ranker,player,player_register_id,age,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,notes,is_aggregate,name_clean,name_strict_key,name_loose_key
2000,Hyundai Unicorns,4618a975,1,Kyu Jae Cho*,cho---001gyu,32,0.0,0.0,,2.08,9.0,,,0.0,0.0,0.0,4.1,2.0,1.0,1.0,0.0,2.0,,4.0,0.0,,,17.0,0.923,4.2,0.0,4.2,8.3,2.00,,False,Kyu Jae Cho,CHO|jaekyu,CHO|gyoje
2000,Hyundai Unicorns,4618a975,2,Woong Chun Cho,cho---000woo,29,8.0,6.0,0.571,3.05,74.0,,,0.0,0.0,8.0,94.1,77.0,34.0,32.0,9.0,20.0,,99.0,6.0,,,378.0,1.028,7.3,0.9,1.9,9.4,4.95,,False,Woong Chun Cho,CHO|chunwoong,CHO|jonwong
2000,Hyundai Unicorns,4618a975,3,Young Pil Choi,choi--001you,26,0.0,0.0,,4.35,7.0,,,0.0,0.0,0.0,10.1,9.0,5.0,5.0,2.0,3.0,,9.0,0.0,,,41.0,1.161,7.8,1.7,2.6,7.8,3.00,,False,Young Pil Choi,CHOI|pilyoung,CHOI|bilyong
2000,Hyundai Unicorns,4618a975,4,Min Tae Chung,chon--001min,30,18.0,6.0,0.75,3.48,29.0,,,3.0,1.0,0.0,207.0,192.0,85.0,80.0,21.0,66.0,,153.0,1.0,,,846.0,1.246,8.3,0.9,2.9,6.7,2.32,,False,Min Tae Chung,JUNG|mintae,JUNG|demin
2000,Hyundai Unicorns,4618a975,5,Myung Won Chung,jeong-000mye,34,5.0,2.0,0.714,3.98,16.0,,,0.0,0.0,0.0,61.0,75.0,35.0,27.0,2.0,21.0,,34.0,4.0,,,267.0,1.574,11.1,0.3,3.1,5.0,1.62,,False,Myung Won Chung,JUNG|myungwon,JUNG|myongwon
2000,Hyundai Unicorns,4618a975,6,Min Koo Hong,hong--000min,25,0.0,0.0,,5.4,2.0,,,0.0,0.0,0.0,3.1,5.0,2.0,2.0,0.0,0.0,,4.0,0.0,,,15.0,1.5,13.5,0.0,0.0,10.8,,,False,Min Koo Hong,HONG|koomin,HONG|gomin
2000,Hyundai Unicorns,4618a975,7,Joon-ho Jeon,jun---000joo,25,0.0,0.0,,3.54,29.0,,,0.0,0.0,1.0,48.1,43.0,21.0,19.0,5.0,16.0,,38.0,2.0,,,203.0,1.221,8.0,0.9,3.0,7.1,2.38,,False,Joon-ho Jeon,JEON|hojoon,JEON|hojon
2000,Hyundai Unicorns,4618a975,8,Hong-jip Kim*,kim---002hon,29,0.0,0.0,,9.0,13.0,,,0.0,0.0,0.0,6.0,12.0,9.0,6.0,0.0,6.0,,7.0,0.0,,,38.0,3.0,18.0,0.0,9.0,10.5,1.17,,False,Hong-jip Kim,KIM|hongjip,KIM|hongjib
2000,Hyundai Unicorns,4618a975,9,Min-Beom Kim*,kim---003min,27,1.0,0.0,1.0,9.53,30.0,,,0.0,0.0,0.0,11.1,17.0,15.0,12.0,1.0,5.0,,13.0,1.0,,,58.0,1.941,13.5,0.8,4.0,10.3,2.60,,False,Min-Beom Kim,KIM|beommin,KIM|bommin
2000,Hyundai Unicorns,4618a975,10,Soo-kyung Kim,kim---002soo,20,18.0,8.0,0.692,3.74,29.0,,,1.0,0.0,0.0,195.0,167.0,87.0,81.0,16.0,91.0,,172.0,3.0,,,820.0,1.323,7.7,0.7,4.2,7.9,1.89,,False,Soo-kyung Kim,KIM|kyungsoo,KIM|gyongso
