season,team_name,team_bref_id,player,player_register_id,age,bats,throws,height,weight,date_of_birth,birth_city,stintOrder,dateFirst,dateLast,is_aggregate,name_clean,name_strict_key,name_loose_key
2000,Hyundai Unicorns,4618a975,Hyi-bong An,an----000hyi,27,R,R,"6' 2""",209,1972-10-03,,,,,False,Hyi-bong An,AHN|bonghyi,AHN|bonghi
2000,Hyundai Unicorns,4618a975,Darryl Brinkley,brinkl001dar,31,R,R,"5' 11""",210,1968-12-23,"Stamford, CT, US",,,,False,Darryl Brinkley,|brinkleydarryl,|blingleydalyl
2000,Hyundai Unicorns,4618a975,Bubba Carpenter,carpen002cha,31,L,L,"6' 1""",195,1968-07-23,"Dallas, TX, US",,,,False,Bubba Carpenter,|bubbacarpenter,|bobagalbendel
2000,Hyundai Unicorns,4618a975,Gyo-Seong Chang,jang--000gyo,22,R,R,"5' 8""",169,1977-10-27,,,,,False,Gyo-Seong Chang,JANG|gyoseong,JANG|gyosong
2000,Hyundai Unicorns,4618a975,Kyu Jae Cho,cho---001gyu,32,L,L,"5' 8""",158,1967-10-07,,,,,False,Kyu Jae Cho,CHO|jaekyu,CHO|gyoje
2000,Hyundai Unicorns,4618a975,Woong Chun Cho,cho---000woo,29,R,R,"6' 0""",180,1971-03-17,,,,,False,Woong Chun Cho,CHO|chunwoong,CHO|jonwong
2000,Hyundai Unicorns,4618a975,Man Ho Choi,choi--000man,26,R,R,"5' 6""",160,1974-03-04,,,,,False,Man Ho Choi,CHOI|homan,CHOI|homan
2000,Hyundai Unicorns,4618a975,Young Pil Choi,choi--001you,26,R,R,"6' 0""",202,1974-05-13,,,,,False,Young Pil Choi,CHOI|pilyoung,CHOI|bilyong
2000,Hyundai Unicorns,4618a975,Min Tae Chung,chon--001min,30,R,R,"6' 0""",198,1970-03-01,,,,,False,Min Tae Chung,JUNG|mintae,JUNG|demin
2000,Hyundai Unicorns,4618a975,Myung Won Chung,jeong-000mye,34,R,R,"6' 2""",196,1966-06-14,,,,,False,Myung Won Chung,JUNG|myungwon,JUNG|myongwon
2000,Hyundai Unicorns,4618a975,Min Koo Hong,hong--000min,25,R,R,"6' 0""",209,1975-04-12,,,,,False,Min Koo Hong,HONG|koomin,HONG|gomin
2000,Hyundai Unicorns,4618a975,Yun-Seong Hwang,hwang-000yun,26,L,L,"6' 0""",194,1974-03-14,,,,,False,Yun-Seong Hwang,HWANG|seongyun,HWANG|songyon
2000,Hyundai Unicorns,4618a975,Jung Suk Jang,chang-000jeo,27,L,R,"5' 9""",167,1973-04-12,,,,,False,Jung Suk Jang,JANG|jungsuk,JANG|jongsog
2000,Hyundai Unicorns,4618a975,Geun-pyo Jeon,jeon--000geu,23,L,L,"6' 0""",194,1977-03-05,,,,,False,Geun-pyo Jeon,JEON|geunpyo,JEON|byogon
2000,Hyundai Unicorns,4618a975,Joon-ho Jeon,jun---000joo,25,R,R,"6' 0""",220,1975-04-10,,,,,False,Joon-ho Jeon,JEON|hojoon,JEON|hojon
2000,Hyundai Unicorns,4618a975,Jun Ho Jeon,jeon--000jun,31,L,L,"5' 10""",158,1969-02-15,,,,,False,Jun Ho Jeon,JEON|hojun,JEON|hojon
2000,Hyundai Unicorns,4618a975,Soo Sung Jung,jeong-003soo,22,L,R,"5' 8""",158,1978-03-04,,,,,False,Soo Sung Jung,JUNG|soosung,JUNG|sosong
2000,Hyundai Unicorns,4618a975,Pil-seon Kang,kang--000pil,28,R,R,"5' 11""",187,1972-05-31,,,,,False,Pil-seon Kang,KANG|pilseon,KANG|bilson
2000,Hyundai Unicorns,4618a975,Hong-jip Kim,kim---002hon,29,L,L,"5' 10""",198,1971-01-30,,,,,False,Hong-jip Kim,KIM|hongjip,KIM|hongjib
2000,Hyundai Unicorns,4618a975,Il Kyoung Kim,kim---002il-,21,R,R,"5' 10""",158,1978-07-01,,,,,False,Il Kyoung Kim,KIM|ilkyoung,KIM|gyongil
2000,Hyundai Unicorns,4618a975,In Ho Kim,kim---003in-,33,R,R,"5' 10""",185,1967-01-26,,,,,False,In Ho Kim,KIM|hoin,KIM|hoin
2000,Hyundai Unicorns,4618a975,Kyung Ki Kim,kim---009gye,32,R,R,"6' 0""",200,1968-04-05,,1,,,False,Kyung Ki Kim,KIM|kikyung,KIM|gigyong
2000,Hyundai Unicorns,4618a975,Min-Beom Kim,kim---003min,27,L,L,"5' 10""",169,1973-06-07,,,,,False,Min-Beom Kim,KIM|beommin,KIM|bommin
2000,Hyundai Unicorns,4618a975,Pil Joong Kim,kim---000pil,25,R,R,"5' 10""",198,1975-05-16,,,,,False,Pil Joong Kim,KIM|joongpil,KIM|biljong
2000,Hyundai Unicorns,4618a975,Soo-kyung Kim,kim---002soo,20,R,R,"6' 0""",178,1979-08-20,,,,,False,Soo-kyung Kim,KIM|kyungsoo,KIM|gyongso
2000,Hyundai Unicorns,4618a975,Jun-Heon Kwon,kwon--000jun,28,R,R,"6' 1""",220,1971-12-01,,,,,False,Jun-Heon Kwon,KWON|heonjun,KWON|honjon
2000,Hyundai Unicorns,4618a975,Jae-ju Lee,lee---003jae,26,R,R,"6' 2""",220,1973-12-25,,,,,False,Jae-ju Lee,LEE|jaeju,LEE|jejo
2000,Hyundai Unicorns,4618a975,Myung Soo Lee,lee---003mye,33,R,R,"5' 11""",182,1966-07-29,,,,,False,Myung Soo Lee,LEE|myungsoo,LEE|myongso
2000,Hyundai Unicorns,4618a975,Soong Yong Lee,lee---003sun,29,L,L,"6' 0""",189,1971-03-10,,,,,False,Soong Yong Lee,LEE|soongyong,LEE|songyong
2000,Hyundai Unicorns,4618a975,Yong-ju Lee,lee---004yon,23,S,R,"5' 10""",167,1976-10-31,,,,,False,Yong-ju Lee,LEE|juyong,LEE|joyong
2000,Hyundai Unicorns,4618a975,Seon-Dong Lim,lim---000sun,26,R,R,"6' 1""",209,1973-08-04,,,,,False,Seon-Dong Lim,LIM|dongseon,LIM|dongson
2000,Hyundai Unicorns,4618a975,Il Young Ma,ma----000il-,19,L,L,"5' 9""",209,1981-05-28,,,,,False,Il Young Ma,MA|ilyoung,MA|ilyong
