key_mlbam,season,PA,AB,H,2B,3B,HR,SO,BB,IBB,HBP,SF,SH,TB,RBI,SB,CS,R,G,GIDP,age
110279,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25
110427,1990,338,312,81,17,2,7,57,16,2,4,5,1,123,47,0,2,46,108,4,21
110427,1991,654,593,171,28,2,11,74,48,5,6,3,4,236,69,3,2,80,158,12,22
110427,1992,716,657,205,32,1,20,76,35,10,13,9,2,299,105,10,2,92,161,15,23
110427,1993,680,624,200,28,6,21,68,34,7,6,13,3,303,114,15,4,105,154,17,24
110427,1994,469,442,139,32,2,19,45,10,1,6,8,3,232,80,8,2,81,103,10,25
110427,1995,600,557,175,28,2,15,31,35,6,3,5,0,252,90,11,2,87,135,15,26
110427,1996,1088,1014,258,56,0,24,54,42,0,18,10,4,386,132,2,2,118,252,46,27
110427,1997,498,467,131,25,1,9,54,20,1,3,5,3,185,52,2,6,53,133,13,28
110427,1998,551,511,136,27,1,7,55,24,6,6,7,3,186,53,0,1,46,147,21,29
110427,1999,304,274,66,2,0,6,48,20,2,4,2,4,86,20,4,2,20,110,10,30
110427,2002,194,182,52,11,0,2,20,7,1,2,2,1,69,19,6,0,17,73,6,33
110427,2003,231,207,71,13,0,4,20,18,1,2,3,1,96,39,1,1,31,105,6,34
110427,2004,94,85,20,2,0,2,12,6,0,3,0,0,28,11,0,0,6,79,7,35
110427,2005,174,158,40,7,0,2,17,7,0,8,0,1,53,19,0,0,18,93,4,36
110875,1997,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,25
110875,1998,8,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,62,0,26
110875,1999,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,27
110928,1989,143,136,36,4,0,2,32,7,1,0,0,0,46,9,0,1,7,81,2,24
110928,1990,5,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7,0,25
110928,1992,18,15,4,1,0,0,1,2,0,1,0,0,5,0,0,1,2,13,1,27
110928,1993,36,34,4,1,0,0,7,2,0,0,0,0,5,0,0,0,3,14,2,28
110928,1994,391,340,104,18,2,13,62,41,0,3,7,0,165,65,7,2,55,96,5,29
110928,1995,616,546,152,22,3,22,98,63,2,1,6,0,246,88,7,4,87,141,12,30
110928,1996,643,586,170,32,1,36,122,47,0,4,6,0,312,106,0,3,101,153,16,31
110928,1997,1296,1122,318,50,0,52,240,152,8,8,14,0,524,180,8,8,176,312,36,32
110928,1998,434,382,86,14,4,2,88,48,2,4,0,0,114,26,2,2,46,144,10,33
110928,1999,73,62,12,3,0,1,15,9,0,2,0,0,18,6,0,0,11,22,5,34
110928,2000,35,31,8,0,1,0,8,4,1,0,0,0,10,5,0,0,2,24,2,35
111483,1996,95,80,19,7,0,1,18,10,0,3,0,2,29,7,1,1,10,26,0,24
111483,1997,376,344,82,10,2,4,76,20,0,4,4,4,108,28,2,0,34,132,4,25
111850,1997,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,25
111850,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26
