season,side,PA,AB,H,2B,3B,HR,SO,BB,IBB,HBP,SF,SH,TB,RBI,SB,CS,R,G,GIDP,batters_faced,ER,GS,SV,W,L,IP
2000,batting,190261.0,167290.0,45246.0,8901.0,952.0,5693.0,31356.0,18237.0,1210.0,1573.0,1514.0,1628.0,73130.0,23734.0,2924.0,1323.0,24971.0,4858.0,3894.0,,,,,,,
2001,batting,186976.0,166234.0,43879.0,8813.0,928.0,5458.0,32404.0,15806.0,1384.0,1890.0,1424.0,1607.0,70922.0,22088.0,3103.0,1408.0,23199.0,4858.0,3653.0,,,,,,,
2002,batting,186615.0,165582.0,43272.0,8700.0,921.0,5059.0,31394.0,16246.0,1452.0,1746.0,1399.0,1633.0,68991.0,21332.0,2750.0,1282.0,22408.0,4852.0,3845.0,,,,,,,
2003,batting,187449.0,166737.0,44057.0,8827.0,934.0,5207.0,30801.0,15889.0,1316.0,1849.0,1336.0,1626.0,70373.0,21886.0,2573.0,1132.0,22978.0,4860.0,3850.0,,,,,,,
2004,batting,188539.0,167353.0,44522.0,8919.0,898.0,5451.0,31828.0,16222.0,1381.0,1850.0,1363.0,1731.0,71590.0,22248.0,2589.0,1100.0,23376.0,4856.0,3783.0,,,,,,,
2005,batting,186292.0,166335.0,43991.0,8863.0,888.0,5017.0,30644.0,15207.0,1216.0,1797.0,1315.0,1620.0,69681.0,21248.0,2565.0,1069.0,22325.0,4862.0,3907.0,,,,,,,
2006,batting,188071.0,167341.0,45073.0,9135.0,952.0,5386.0,31655.0,15847.0,1410.0,1817.0,1396.0,1651.0,72270.0,22491.0,2767.0,1110.0,23599.0,4858.0,3944.0,,,,,,,
2007,batting,188623.0,167782.0,44977.0,9197.0,938.0,4957.0,32189.0,16079.0,1323.0,1755.0,1441.0,1540.0,70921.0,22257.0,2918.0,1002.0,23322.0,4862.0,3982.0,,,,,,,
2008,batting,187631.0,166714.0,43972.0,9014.0,886.0,4878.0,32884.0,16337.0,1310.0,1672.0,1365.0,1526.0,69392.0,21541.0,2799.0,1035.0,22585.0,4856.0,3883.0,,,,,,,
2009,batting,187079.0,165849.0,43524.0,8737.0,949.0,5042.0,33591.0,16620.0,1179.0,1590.0,1366.0,1635.0,69285.0,21364.0,2970.0,1133.0,22419.0,4860.0,3796.0,,,,,,,
2010,batting,185553.0,165353.0,42554.0,8486.0,866.0,4613.0,34306.0,15778.0,1216.0,1549.0,1301.0,1544.0,66611.0,20288.0,2959.0,1129.0,21308.0,4860.0,3719.0,,,,,,,
2011,batting,185245.0,165705.0,42267.0,8399.0,898.0,4552.0,34488.0,15018.0,1231.0,1554.0,1274.0,1667.0,66118.0,19804.0,3279.0,1261.0,20808.0,4858.0,3523.0,,,,,,,
2012,batting,184179.0,165251.0,42063.0,8261.0,927.0,4934.0,36426.0,14709.0,1055.0,1494.0,1223.0,1479.0,66980.0,19998.0,3229.0,1136.0,21017.0,4860.0,3614.0,,,,,,,
2013,batting,184873.0,166070.0,42093.0,8222.0,772.0,4661.0,36710.0,14640.0,1018.0,1536.0,1219.0,1383.0,65842.0,19271.0,2693.0,1007.0,20255.0,4862.0,3732.0,,,,,,,
2014,batting,183929.0,165614.0,41595.0,8137.0,849.0,4186.0,37441.0,14020.0,985.0,1652.0,1277.0,1343.0,63988.0,18745.0,2764.0,1035.0,19761.0,4860.0,3609.0,,,,,,,
2015,batting,183628.0,165488.0,42106.0,8242.0,939.0,4909.0,37446.0,14073.0,951.0,1602.0,1232.0,1200.0,66953.0,19650.0,2505.0,1064.0,20647.0,4858.0,3739.0,,,,,,,
2016,batting,184580.0,165561.0,42276.0,8254.0,873.0,5610.0,38982.0,15088.0,932.0,1651.0,1214.0,1025.0,69106.0,20745.0,2537.0,1001.0,21744.0,4856.0,3719.0,,,,,,,
2017,batting,185295.0,165567.0,42215.0,8397.0,795.0,6105.0,40104.0,15829.0,970.0,1763.0,1168.0,925.0,70517.0,21558.0,2527.0,934.0,22582.0,4860.0,3804.0,,,,,,,
2018,batting,185139.0,165432.0,41018.0,8264.0,847.0,5585.0,41207.0,15686.0,929.0,1922.0,1235.0,823.0,67731.0,20606.0,2474.0,958.0,21630.0,4862.0,3457.0,,,,,,,
2019,batting,186517.0,166651.0,42039.0,8531.0,785.0,6776.0,42823.0,15895.0,753.0,1984.0,1150.0,776.0,72468.0,22471.0,2280.0,832.0,23467.0,4858.0,3463.0,,,,,,,
2020,batting,66506.0,59030.0,14439.0,2823.0,241.0,2304.0,15586.0,6092.0,202.0,821.0,402.0,126.0,24656.0,7978.0,885.0,292.0,8344.0,1796.0,1237.0,,,,,,,
2021,batting,181818.0,161941.0,39484.0,7863.0,671.0,5944.0,42145.0,15794.0,703.0,2112.0,1143.0,766.0,66521.0,20993.0,2213.0,711.0,22010.0,4858.0,3328.0,,,,,,,
2022,batting,182052.0,163465.0,39674.0,7940.0,643.0,5215.0,40812.0,14853.0,475.0,2046.0,1224.0,390.0,64545.0,19888.0,2486.0,811.0,20817.0,4860.0,3393.0,,,,,,,
2023,batting,184104.0,164418.0,40839.0,8228.0,712.0,5868.0,41843.0,15819.0,474.0,2112.0,1230.0,429.0,68095.0,21512.0,3503.0,866.0,22432.0,4860.0,3466.0,,,,,,,
2024,batting,182449.0,163687.0,39823.0,7771.0,697.0,5453.0,41197.0,14929.0,509.0,2020.0,1261.0,452.0,65347.0,20379.0,3617.0,961.0,21343.0,4858.0,3227.0,,,,,,,
2025,batting,182926.0,163664.0,40138.0,7745.0,628.0,5650.0,40645.0,15379.0,556.0,1928.0,1307.0,560.0,66089.0,20740.0,3440.0,989.0,21614.0,4860.0,3122.0,,,,,,,
2026,batting,174823.0,155255.0,37892.0,7155.0,630.0,5303.0,38609.0,15581.0,519.0,2020.0,1234.0,651.0,62216.0,19820.0,3129.0,934.0,20740.0,4618.0,2981.0,,,,,,,
2000,pitching,,,45246.0,,,5693.0,31356.0,18237.0,,,,,,,,,24971.0,4858.0,,190261.0,22885.0,4858.0,1178.0,2428.0,2428.0,43244.1
2001,pitching,,,43879.0,,,5458.0,32404.0,15806.0,,,,,,,,,23199.0,4858.0,,186976.0,21216.0,4858.0,1210.0,2428.0,2428.0,43287.1
2002,pitching,,,43272.0,,,5059.0,31394.0,16246.0,,,,,,,,,22408.0,4852.0,,186615.0,20535.0,4852.0,1224.0,2425.0,2425.0,43269.0
2003,pitching,,,44057.0,,,5207.0,30801.0,15889.0,,,,,,,,,22978.0,4860.0,,187449.0,21153.0,4860.0,1198.0,2429.0,2429.0,43335.1
2004,pitching,,,44522.0,,,5451.0,31828.0,16222.0,,,,,,,,,23376.0,4856.0,,188539.0,21483.0,4856.0,1230.0,2428.0,2428.0,43394.0
2005,pitching,,,43991.0,,,5017.0,30644.0,15207.0,,,,,,,,,22325.0,4862.0,,186292.0,20562.0,4862.0,1254.0,2430.0,2430.0,43232.1
2006,pitching,,,45073.0,,,5386.0,31655.0,15847.0,,,,,,,,,23599.0,4858.0,,188071.0,21722.0,4858.0,1201.0,2429.0,2429.0,43258.0
2007,pitching,,,44977.0,,,4957.0,32189.0,16079.0,,,,,,,,,23322.0,4862.0,,188623.0,21529.0,4862.0,1198.0,2431.0,2431.0,43425.2
2008,pitching,,,43972.0,,,4878.0,32884.0,16337.0,,,,,,,,,22585.0,4856.0,,187631.0,20790.0,4856.0,1184.0,2428.0,2428.0,43357.2
2009,pitching,,,43524.0,,,5042.0,33591.0,16620.0,,,,,,,,,22419.0,4860.0,,187079.0,20731.0,4860.0,1202.0,2430.0,2430.0,43272.0
2010,pitching,,,42554.0,,,4613.0,34306.0,15778.0,,,,,,,,,21308.0,4860.0,,185553.0,19595.0,4860.0,1204.0,2430.0,2430.0,43305.1
2011,pitching,,,42267.0,,,4552.0,34488.0,15018.0,,,,,,,,,20808.0,4858.0,,185245.0,19032.0,4858.0,1243.0,2429.0,2429.0,43527.1
2012,pitching,,,42063.0,,,4934.0,36426.0,14709.0,,,,,,,,,21017.0,4860.0,,184179.0,19301.0,4860.0,1261.0,2430.0,2430.0,43355.1
2013,pitching,,,42093.0,,,4661.0,36710.0,14640.0,,,,,,,,,20255.0,4862.0,,184873.0,18729.0,4862.0,1266.0,2431.0,2431.0,43653.1
2014,pitching,,,41595.0,,,4186.0,37441.0,14020.0,,,,,,,,,19761.0,4860.0,,183929.0,18107.0,4860.0,1264.0,2430.0,2430.0,43613.2
2015,pitching,,,42106.0,,,4909.0,37446.0,14073.0,,,,,,,,,20647.0,4858.0,,183628.0,19075.0,4858.0,1292.0,2429.0,2429.0,43407.2
2016,pitching,,,42276.0,,,5610.0,38982.0,15088.0,,,,,,,,,21744.0,4856.0,,184580.0,20124.0,4856.0,1276.0,2427.0,2427.0,43306.1
2017,pitching,,,42215.0,,,6105.0,40104.0,15829.0,,,,,,,,,22582.0,4860.0,,185295.0,20911.0,4860.0,1179.0,2430.0,2430.0,43257.0
2018,pitching,,,41018.0,,,5585.0,41207.0,15686.0,,,,,,,,,21630.0,4862.0,,185139.0,20025.0,4862.0,1244.0,2431.0,2431.0,43489.0
2019,pitching,,,42039.0,,,6776.0,42823.0,15895.0,,,,,,,,,23467.0,4858.0,,186517.0,21684.0,4858.0,1180.0,2429.0,2429.0,43423.1
2020,pitching,,,14439.0,,,2304.0,15586.0,6092.0,,,,,,,,,8344.0,1796.0,,66506.0,7638.0,1796.0,422.0,898.0,898.0,15468.2
2021,pitching,,,39484.0,,,5944.0,42145.0,15794.0,,,,,,,,,22010.0,4858.0,,181818.0,20162.0,4858.0,1191.0,2429.0,2429.0,42615.0
2022,pitching,,,39674.0,,,5215.0,40812.0,14853.0,,,,,,,,,20817.0,4860.0,,182052.0,18963.0,4860.0,1232.0,2430.0,2430.0,43075.1
2023,pitching,,,40839.0,,,5868.0,41843.0,15819.0,,,,,,,,,22432.0,4860.0,,184104.0,20710.0,4860.0,1241.0,2430.0,2430.0,43087.1
2024,pitching,,,39823.0,,,5453.0,41197.0,14929.0,,,,,,,,,21343.0,4858.0,,182449.0,19508.0,4858.0,1225.0,2429.0,2429.0,43116.1
2025,pitching,,,40138.0,,,5650.0,40645.0,15379.0,,,,,,,,,21614.0,4860.0,,182926.0,19869.0,4860.0,1201.0,2430.0,2430.0,43075.0
2026,pitching,,,37892.0,,,5303.0,38609.0,15581.0,,,,,,,,,20740.0,4618.0,,174823.0,19014.0,4618.0,1196.0,2306.0,2306.0,40951.1
