key_mlbam,season,batters_faced,SO,BB,HR,H,ER,R,G,GS,SV,W,L,age,IP
110279,1995,128,9,14,4,26,11,12,5,5,0,2,1,22,30.1
110279,1996,340,22,32,16,92,58,60,16,14,0,2,6,23,74.2
110279,1997,244,28,21,9,76,36,45,17,8,0,0,6,24,50.0
110279,1998,30,1,2,0,12,6,6,5,0,0,0,0,25,5.2
110875,1997,98,8,9,2,21,8,9,16,0,0,0,1,25,22.2
110875,1998,417,59,45,8,97,56,61,62,0,1,5,5,26,91.2
110875,1999,59,4,3,4,24,18,18,5,1,0,0,1,27,11.1
111292,1997,92,7,8,2,27,17,20,5,5,0,0,3,25,19.0
111850,1997,57,18,6,1,6,2,2,12,0,0,0,0,25,15.1
111850,1998,19,1,1,0,7,4,4,3,0,0,0,0,26,4.1
111850,1999,119,28,9,3,21,7,7,26,0,0,4,0,27,29.1
111850,2000,266,41,17,10,74,39,40,52,0,2,2,3,28,59.1
111850,2001,253,43,25,5,52,19,24,55,0,2,7,4,29,59.1
111850,2002,474,61,36,23,131,78,84,50,11,0,6,10,30,103.1
112470,1992,104,12,14,1,23,14,14,8,4,0,0,2,24,23.0
112906,1997,116,23,9,6,29,19,19,19,0,0,0,2,24,26.1
112906,1999,295,46,23,11,74,42,44,29,6,0,2,5,26,66.2
112906,2000,172,34,13,4,39,14,14,27,0,0,5,2,27,41.0
112906,2001,342,75,24,11,72,38,41,66,0,2,3,3,28,82.1
112906,2002,360,61,29,12,90,39,44,43,5,0,2,6,29,78.1
112906,2003,233,38,11,15,65,43,43,20,7,0,3,5,30,53.2
113830,1990,25,6,5,0,6,3,3,4,0,0,0,0,22,5.0
114014,1996,127,16,13,8,32,24,25,7,4,0,0,1,27,28.0
114499,1996,14,0,3,0,4,4,4,2,0,0,0,1,26,2.1
114499,1999,235,26,21,8,61,29,32,16,7,0,0,4,29,51.2
114499,2000,220,43,15,4,54,14,14,32,0,0,0,0,30,52.2
114499,2001,162,22,16,2,36,14,14,36,0,0,0,4,31,40.0
114499,2002,212,29,20,3,46,24,25,16,4,0,2,4,32,48.2
114551,1986,91,11,12,3,19,9,10,10,0,0,0,1,22,20.2
115475,1995,18,1,1,1,7,6,6,1,0,0,0,0,23,3.1
115475,1996,20,1,2,1,4,6,6,1,1,0,0,1,24,4.1
115475,1999,58,7,6,0,15,9,9,7,0,0,1,1,27,13.0
115475,2004,262,30,23,10,55,33,34,55,0,0,6,6,32,62.2
115475,2005,56,7,4,3,16,9,9,8,0,0,0,0,33,12.2
115475,2007,19,2,1,0,9,3,3,1,1,0,0,0,35,3.1
115780,1997,17,3,3,0,2,2,2,4,0,0,0,1,23,4.0
115780,1998,100,19,12,4,26,19,22,15,0,0,0,0,24,20.0
115780,2002,115,23,15,5,19,14,14,30,0,2,1,1,28,28.0
115819,1997,13,2,3,0,5,6,6,2,0,0,0,0,26,1.1
116356,1995,345,33,40,11,81,47,50,14,10,0,5,2,25,77.2
116356,1996,223,36,30,10,61,41,42,16,4,2,2,5,26,47.2
116356,1997,94,10,15,5,25,19,19,13,1,0,1,2,27,19.0
116495,1996,344,47,38,16,95,60,65,15,11,0,4,6,23,73.2
116495,1997,105,17,13,4,23,10,11,12,0,0,2,1,24,25.0
116611,1997,806,114,74,40,212,136,140,50,32,4,4,12,21,179.1
116611,1998,40,4,2,4,16,12,12,2,2,0,0,2,22,7.1
116611,1999,44,6,7,2,12,8,8,3,1,0,0,0,23,8.1
116611,2000,466,70,53,18,107,72,73,41,13,0,5,6,24,101.1
116611,2001,50,10,4,3,13,6,6,10,0,0,0,0,25,11.1
117039,1993,37,7,5,0,3,0,0,6,0,1,0,0,24,9.1
117039,1994,52,8,8,4,15,10,12,7,0,0,1,0,25,10.2
117039,1995,209,41,27,6,37,19,20,24,0,0,4,1,26,49.2
117039,1996,48,5,5,1,15,9,9,7,0,0,0,0,27,10.0
117742,1992,40,4,7,1,13,8,8,2,2,0,1,1,26,6.2
117742,1993,341,65,43,7,68,28,37,57,0,0,6,3,27,77.1
117742,1994,261,45,38,7,62,34,44,45,0,0,1,4,28,54.0
117742,1995,152,32,15,9,30,15,15,21,1,0,0,1,29,36.0
117742,1996,412,78,65,9,78,42,45,72,0,2,4,6,30,90.1
117742,1997,238,32,36,20,56,48,52,36,0,0,4,0,31,48.2
117742,1998,25,4,5,2,8,8,8,2,1,0,0,0,32,4.2
117769,1994,34,7,3,2,11,10,10,3,1,0,0,1,21,6.2
117769,1995,320,37,18,10,85,50,52,15,15,0,3,9,22,73.2
117769,1996,329,59,22,13,87,46,48,39,4,3,5,6,23,72.2
117769,1997,321,63,16,9,79,44,45,52,1,2,1,6,24,75.0
117769,1998,950,169,32,34,229,96,100,33,33,0,16,8,25,233.1
117769,1999,1024,187,44,30,256,98,108,35,35,0,21,10,26,246.1
117769,2000,895,124,68,48,251,145,152,33,33,0,7,16,27,196.1
117769,2001,1438,168,76,70,394,204,228,64,54,0,12,24,28,331.1
117769,2002,304,33,21,12,86,59,60,20,12,0,4,6,29,68.1
117769,2003,321,32,26,7,80,40,40,14,14,0,8,3,30,73.1
117769,2004,702,93,34,33,178,77,81,36,24,0,13,5,31,170.1
117769,2005,780,80,61,31,219,131,140,32,32,0,5,16,32,168.2
117769,2006,91,12,10,3,25,19,22,4,4,0,0,4,33,17.1
117800,1992,116,16,17,5,31,23,23,8,3,0,1,3,27,24.0
117800,1993,356,46,46,16,92,60,60,46,2,0,4,2,28,73.1
117800,1994,241,29,20,4,74,25,27,32,3,0,6,2,29,50.1
