player_register_id,player,date_of_birth,birth_city,_strict,_loose,_dob,_birth_year,review_reason,date_of_birth_kbo,_strict_kbo,_dob_kbo,key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,birth_year,birth_month,birth_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,name,date_of_birth_mlb,_strict_mlb,_dob_mlb,match_tier,match_confidence
kim---012yon,Yong-soo Kim,1960-05-02,,KIM|sooyong,KIM|soyong,1960-05-02,1960,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
kim---037seo,Sung Rae Kim,1961-12-03,,KIM|raesung,KIM|lesong,1961-12-03,1961,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
lee---018san,Sang Kun Lee,1962-04-21,,LEE|kunsang,LEE|gonsang,1962-04-21,1962,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
kim---017jeo,Jeong Su Kim,1962-07-24,,KIM|jeongsu,KIM|jongso,1962-07-24,1962,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
cho---001gye,Kye Hyun Cho,1964-05-01,,CHO|hyunkye,CHO|gyehyon,1964-05-01,1964,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
lee---004gwa,Kwang Woo Lee,1965-03-14,,LEE|kwangwoo,LEE|gwangwo,1965-03-14,1965,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
han---000yon,Yong Duk Han,1965-06-02,,HAN|dukyong,HAN|dogyong,1965-06-02,1965,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
yan---001jul,Julian Yan,1965-07-24,"La Romana, La Romana, DO",|julianyan,|jolianyan,1965-07-24,1965,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
kim---012san,Sang-ho Kim,1965-10-19,,KIM|hosang,KIM|hosang,1965-10-19,1965,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
kim---009yeo,Yeong-hwa Kim,1965-11-20,,KIM|hwayeong,KIM|hwayong,1965-11-20,1965,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
kim---000weo,Eung Gook Kim,1966-01-14,,KIM|eunggook,KIM|gogong,1966-01-14,1966,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
song--000jin,Jin Woo Song,1966-02-16,,SONG|jinwoo,SONG|jinwo,1966-02-16,1966,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
rodrig001fer,Boi Rodriguez,1966-04-14,"Dorado Beach, PR",|boirodriguez,|boilodligoez,1966-04-14,1966,no_match,,,,,,,,,,,,,,,,,,,,,,,,,,
